    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    ca98       .3109312              .                          .1721125                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3123245                 .                      .                     .                          .   27416.64             0    87.59022          0                      0                 0                          0                     0              0           0           0           0    26865.94      .997718  
    ca00       .3159964              .                          .1741691                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3177643                 .                      .                     .                          .   29007.09             0    149.7799          0                      0                 0                          0                     0              0           0           0           0    28432.82     .9974259  
    ca04       .3190819              .                          .1764736                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .      .48013    .3990295    .3631638      .32128                 .                      .                     .                          .   33925.97             0    146.5004          0                      0                 0                          0                     0              0    38081.71    43155.89    45380.42    33186.99     .9984719  
    ca07       .3177467              .                          .1751524                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4770752    .3968613    .3613323    .3188173                 .                      .                     .                          .   39348.68             0    181.6757          0                      0                 0                          0                     0              0    43428.83     49224.3    51764.52    38457.95     .9993745  
    ca10       .3172654              .                          .1750142                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4834074    .4067698    .3588648    .3175303                 .                      .                     .                          .   42085.06             0    169.6618          0                      0                 0                          0                     0              0    45014.21    50797.02    54424.31    41259.66     .9990181  
    ca13       .3208294              .                          .1791306                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4772426    .4003378    .3576802    .3208265                 .                      .                     .                          .   46155.26             0    180.6037          0                      0                 0                          0                     0              0     49861.7    56765.16    60237.28    45369.05     .9993991  
    cn02       .4152188       .3518681                           .229858           .3492178                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4152188           .           .           .           .                 .                      .                     .                          .   9213.396      582.0296           0   6148.756                      0                 0                          0                     0       149.3766           0           0           0           0     .9988706  
    co07       .5514754              .                          .3540814                  .                       .                     .                    .578021                         .                              .                       .                     .3540814                           .                                .                    .           .           .           .     .551568                 .               .5784284                     .                          .    6535803             0    361608.6          0                6091744                 0                          0                     0       439059.2           0           0           0     6529113     .8888583  
    cz92       .2057225              .                          .1153127                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   55501.32             0           0          0                      0                 0                          0                     0              0           0           0           0           0     .9999313  
    cz96       .2563807              .                          .1443001                  .                       .                     .                   .2808547                         .                              .                       .                     .1443001                           .                                .                    .           .           .           .           .                 .               .2808684                     .                          .   107160.5             0           0          0                98226.8                 0                          0                     0              0           0           0           0           0     .9996461  
    cz02        .255491              .                          .1435932                  .                       .                     .                    .276767                         .                              .                       .                     .1435932                           .                                .                    .    .4752629    .3629814    .3307831    .2556057                 .               .2767799                     .                          .   155257.8             0    2450.519          0                 142122                 0                          0                     0              0    193667.5    223957.8    235020.5    155185.3     .9999153  
    cz04        .266581              .                          .1473424                  .                .1514301                     .                   .2931894                         .                       .2920233                       .                     .1473424                           .                         .1514301                    .    .4788663    .3683709     .339484     .266581                 .               .2933336                     .                   .2921572   174319.9             0    2680.207          0               162652.7                 0                   156311.5                     0       30842.45    221430.9    256082.8    267903.7    174319.9            1  
    cz07       .2516939              .                          .1343651                  .                .1376306                     .                   .2782667                         .                       .2773192                       .                     .1343651                           .                         .1376306                    .    .4579208    .3475452     .324702    .2516939                 .               .2789673                     .                   .2778989   218077.5      43028.82    4030.676          0               202742.2                 0                     195562                     0       38881.63    276979.8    319632.1    333808.8    218077.5     .9997165  
    cz10         .25633              .                          .1295754                  .                .1332563                     .                   .2843966                         .                       .2833301                       .                     .1295754                           .                         .1332563                    .     .459274    .3384139    .3196689      .25633                 .               .2850219                     .                   .2838477   245798.6       45813.7    5701.814          0               223130.8                 0                   214490.4                     0       44104.71    293532.4    345329.9    358760.3    245798.6     .9998538  
    cz13       .2587313              .                          .1292285                  .                .1329771                     .                   .2916221                         .                       .2904096                       .                     .1292285                           .                         .1329771                    .    .4701174    .3436319    .3234977    .2587313                 .               .2923871                     .                   .2910688   257867.2      49681.03    6428.209          0               241128.5                 0                   232838.3                     0       46675.68    307294.2      362929    375280.6    257867.2     .9992692  
    dk87       .2520936              .                          .1412763                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2563185                 .                      .                     .                          .   117170.9      4532.239    194.5412          0                      0                 0                          0                     0       341.6166           0           0           0    116404.1     .9932477  
    dk92       .2370991              .                          .1347924                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2395364                 .                      .                     .                          .   133124.5      4313.186    172.8314          0                      0                 0                          0                     0       325.1056           0           0           0      131778     .9946839  
    dk95       .2207273              .                          .1240336                  .                       .                     .                   .2573078                         .                              .                       .                     .1240336                           .                                .                    .           .           .           .    .2232863                 .               .2573642                     .                          .     150255             0    701.9366          0               146460.5                 0                          0                     0              0           0           0           0    148415.3     .9985968  
    dk00       .2247808              .                          .1272126                  .                       .                     .                   .2704453                         .                              .                       .                     .1272126                           .                                .                    .    .4417824    .3274101     .272119    .2270365                 .               .2705247                     .                          .   178621.7             0    918.8016          0               189018.3                 0                          0                     0              0    211193.6      245448    268540.2    175867.1     .9983926  
