ccyy,scope,error0_mean,error1_mean,error2_mean,corr0_mean,corr1_mean,corr2_mean,R2_0_mean,R2_1_mean,R2_2_mean,non_missing_hmc_mean,non_missing_hmc_pred0_mean,non_missing_hmc_pred1_mean,non_missing_hmc_pred2_mean,gini_dhi_scope_hmc
pl92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pl95,.98165831,.,.,.,.,.,.,.,.,.,0,1,1,1,.
pl99,.99370965,.,.,.,.,.,.,.,.,.,0,1,1,1,.
pl04,.99429413,.,.,.,.,.,.,.,.,.,0,1,1,1,.
pl07,.02504271,.51894887,.44253013,.42388497,.67940801,.72543454,.73138511,.46159524,.52625525,.53492421,1,1,1,1,.31551542
pl10,.03551646,.48070949,.41999496,.40489705,.73419213,.76727635,.76499867,.53903806,.58871299,.58522296,1,1,1,1,.32059359
pl13,.99111341,.45416215,.40009007,.39808152,.56076634,.62767971,.63070244,.31445888,.39398181,.39778557,1,1,1,1,.31590422
ro95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ro97,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru04,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
rs06,.88815979,.39959541,.3280769,.31734293,.48248011,.61136901,.62864637,.23278706,.37377208,.39519626,1,1,1,1,.33474934
rs10,.93412239,.34128983,.25472827,.24510503,.48427686,.64617705,.66684961,.23452407,.41754478,.44468841,1,1,1,1,.32077973
rs13,.9259969,.28882827,.19804876,.18542094,.52676624,.69574267,.72028822,.27748266,.48405784,.5188151,1,1,1,1,.33406428
sk92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
sk96,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
sk04,.1213544,.,.,.,.,.,.,.,.,.,0,1,1,1,.
sk07,.9649346,.,.,.,.,.,.,.,.,.,0,1,1,1,.
sk10,.99436718,.,.,.,.,.,.,.,.,.,0,1,1,1,.
sk13,.99918415,.,.,.,.,.,.,.,.,.,0,1,1,1,.
si97,.99989996,.43271822,.39927852,.39108618,.45861256,.50476807,.52102989,.21032548,.25479081,.27147216,1,1,1,1,.22932468
si99,.99973121,.33228599,.30181763,.29511975,.50532395,.5619753,.57335454,.25535229,.31581622,.32873544,1,1,1,1,.2319706
si04,.99975694,.36152844,.34272184,.33422758,.51753813,.54688829,.56284332,.26784572,.29908681,.31679261,1,1,1,1,.23109543
si07,.95138907,.3376686,.31362719,.30271798,.53861755,.59319419,.61220497,.29010886,.35187933,.37479493,1,1,1,1,.22847907
si10,.95028153,.30372342,.27588731,.26772982,.51318485,.58547181,.60023844,.26335868,.34277725,.36028618,1,1,1,1,.25149046
si12,1,.26736565,.24299439,.2306695,.48454702,.55447561,.59046102,.23478581,.3074432,.3486442,1,1,1,1,.27108294
za08,.77803168,19.590778,12.863579,13.146552,.61634451,.69212848,.69620979,.37988055,.47904184,.48470807,1,1,1,1,.6707735
za10,.71940672,17.147693,11.29066,10.776306,.5102405,.66200012,.68149567,.26034537,.43824416,.46443635,1,1,1,1,.68103084
za12,.88583644,12.979539,8.3200167,8.484633,.59701663,.6743868,.67655981,.35642886,.45479757,.45773318,1,1,1,1,.60962437
kr06,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr08,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr12,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es80,.85430229,.3680245,.26119291,.25532803,.59201217,.74316764,.74606347,.35047841,.55229813,.5566107,1,1,1,1,.3178262
es85,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es90,.90721279,.58639581,.59096768,.57796381,.44375744,.47043589,.49080786,.19692066,.22130993,.24089235,1,1,1,1,.30257088
es95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es04,.81701635,.,.,.,.,.,.,.,.,.,0,1,1,1,.
es07,.97712344,.,.,.,.,.,.,.,.,.,0,1,1,1,.
es10,.95707352,.,.,.,.,.,.,.,.,.,0,1,1,1,.
es13,.98457822,.,.,.,.,.,.,.,.,.,0,1,1,1,.
se67,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se75,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se92,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se00,.99852536,.,.,.,.,.,.,.,.,.,0,1,1,1,.
se05,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch82,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch92,.55530841,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ch00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch02,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch04,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch07,.9946447,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ch10,.99634213,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ch13,.99926171,.,.,.,.,.,.,.,.,.,0,1,1,1,.
tw81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw86,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw91,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw95,.9994206,.,.,.,.,.,.,.,.,.,0,1,1,1,.
tw97,.99998384,.,.,.,.,.,.,.,.,.,0,1,1,1,.
tw00,.99990982,.,.,.,.,.,.,.,.,.,0,1,1,1,.
tw05,.99988897,.,.,.,.,.,.,.,.,.,0,1,1,1,.
tw07,.99990532,.13127326,.1230099,.12333144,.73846787,.76512575,.76494312,.54533482,.58541739,.58513796,1,1,1,1,.3069744
tw10,.99943303,.13830152,.13918838,.1385655,.73029017,.74810243,.74915808,.53332376,.55965722,.56123781,1,1,1,1,.31665086
tw13,.99915186,.1595448,.1488224,.14850217,.70718288,.73965651,.73795068,.50010765,.54709172,.54457122,1,1,1,1,.30768785
uk69,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk74,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk79,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk86,.94844517,.46826509,.42247604,.41565977,.52028036,.60103136,.61342961,.27069166,.36123869,.37629589,1,1,1,1,.29420843
uk91,.99658792,.79768262,.53674777,.54009591,.56071973,.7175746,.71569878,.3144066,.51491332,.51222473,1,1,1,1,.33803556
uk94,.99582533,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uk95,.98837397,.34327624,.33240083,.33065425,.61471719,.62441891,.62775612,.37787721,.38989899,.39407775,1,1,1,1,.34308493
uk99,.99463687,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uk04,.98118659,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uk07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk13,.17875545,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us74,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
us79,.72260275,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us86,.67366863,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us91,.6645868,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us94,.67172073,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us97,.68876052,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us00,.70239333,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us04,.71654493,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us07,.6994968,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us10,.67741538,.,.,.,.,.,.,.,.,.,0,1,1,1,.
us13,.66439889,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uy04,1,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uy07,.89448232,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uy10,.89175492,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uy13,.90859852,.,.,.,.,.,.,.,.,.,0,1,1,1,.
uy16,.91766559,.,.,.,.,.,.,.,.,.,0,1,1,1,.
