    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    in11       .4990239           .2215705                       .                         .                              .                           .                                .             .4990239           .           .                     .                          .   57471.76                          0                     0     .9777983     .8802776             .             .             .             .                   .                        .                       .                            .  
    ie10              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    il92       .3053692            .289437                       .                         .                              .                           .                                .             .3053692           .           .                     .                          .   28797.69                          0                     0     .9997111     .3102958             .             .             .       .310296                   .                        .                       .                            .  
    il97       .3370563           .3211689                       .                         .                              .                           .                                .             .3370563           .           .                     .                          .   49019.11                          0                     0            1     .4447452             .             .             .      .4445323                   .                        .                       .                            .  
    il01       .3486283           .2378342                       .                         .                              .                           .                                .             .3486283           .           .                     .                          .   63107.65                          0                     0     .9973136     .4155721             .             .             .      .4169406                   .                        .                       .                            .  
    il05       .3753501            .259695                       .                         .                              .                           .                                .             .3753501           .           .                     .                          .   67179.45                          0                     0     .9976282     .5563473             .             .             .      .5597407                   .                        .                       .                            .  
    il07       .3669307           .2460787                       .                         .                              .                           .                                .             .3669307           .           .                     .                          .    74483.7                          0                     0     .9889482     .5239646             .             .             .      .5239646                   .                        .                       .                            .  
    il10       .3830573            .257901                       .                         .                              .                           .                                .             .3830573    .4625072    .4307957                     .                          .   87291.86                          0                     0     .9893094     .5368715      1.192565      .8639673      .6296082      .5368715                   .                        .                       .                            .  
    il12       .3690849           .2370204                       .                         .                              .                           .                                .             .3690849           .           .                     .                          .   95547.53                          0                     0     .9862331     .5347506             .             .             .      .5347506                   .                        .                       .                            .  
    it87       .3327299                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   1.43e+07                          0                     0     .9975526     .5853267             .             .             .             .                   .                        .                       .                            .  
    it89       .3033219                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   1.74e+07                          0                     0       .99913     .3033127             .             .             .             .                   .                        .                       .                            .  
    it91       .2910395                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   1.97e+07                          0                     0     .9982009     .3200013             .             .             .             .                   .                        .                       .                            .  
    it93       .3405781                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   2.08e+07                          0                     0     .9969819     .5824607             .             .             .             .                   .                        .                       .                            .  
    it14       .3203682           .1932278                       .                         .                              .                           .                                .             .3203682    .3968923     .386634                     .                          .   16807.31                          0                     0     .9814066     .6409434      2.536053      1.063806      .8471453      .6409434                   .                        .                       .                            .  
    lt10       .3232178                  .                .1867499                         .                              .                           .                                .                    .           .           .                     .                          .   18079.27                   16583.27                     0     .9639946     .4523857             .             .             .      .4523782                   .                        .                       .                            .  
    lt13       .3481252                  .                .2041413                         .                              .                           .                                .                    .           .           .                     .                          .   23618.49                   23199.99                     0     .9892145     .4409919             .             .             .      .4409924                   .                        .                       .                            .  
