    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    ca75       .2880325              .                          .1613297                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .3851592           .           .           .                 .                      .                     .                          .   7433.257             .           .          .                      .                 .                          .                     .              .    7772.818           .           .           .     .9929141  
    ca81       .2830675              .                          .1588878                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .3812036           .           .           .                 .                      .                     .                          .   13848.72             .           .          .                      .                 .                          .                     .              .    14571.22           .           .           .     .9961444  
    ca87       .2821398              .                           .157415                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4065709           .           .           .                 .                      .                     .                          .   19785.42             .           .          .                      .                 .                          .                     .              .    20983.74           .           .           .     .9982343  
    ca91         .28056              .                          .1567865                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4279299           .           .           .                 .                      .                     .                          .   23927.44             .           .          .                      .                 .                          .                     .              .     24830.2           .           .           .     .9975114  
    ca94       .2835518              .                          .1586653                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4504822           .           .           .                 .                      .                     .                          .   24793.41             .           .          .                      .                 .                          .                     .              .    25247.35           .           .           .     .9976541  
    ca97       .2911792              .                          .1629727                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4521441           .           .           .                 .                      .                     .                          .   26064.89             .           .          .                      .                 .                          .                     .              .     26956.7           .           .           .     .9986725  
    ca98       .3109312              .                          .1721125                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4837077    .4063791     .357206    .3123244                 .                      .                     .                          .   27416.64             .    87.59022          .                      .                 .                          .                     .              .    27665.61    31440.29    33606.86    26865.94      .997718  
    ca00       .3159964              .                          .1741691                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4757036     .398849    .3603053    .3177643                 .                      .                     .                          .   29007.09             .    149.7799          .                      .                 .                          .                     .              .    31183.32    35330.75    37193.85    28432.82     .9974259  
    ca04       .3190819              .                          .1764736                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .      .48013    .3990295    .3631638      .32128                 .                      .                     .                          .   33925.97             .    146.5004          .                      .                 .                          .                     .              .    38081.71    43155.89    45380.42    33186.99     .9984719  
    ca07       .3177467              .                          .1751524                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4770752    .3968613    .3613323    .3188173                 .                      .                     .                          .   39348.68             .    181.6757          .                      .                 .                          .                     .              .    43428.83     49224.3    51764.52    38457.95     .9993745  
    ca10       .3172654              .                          .1750142                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4834074    .4067698    .3588648    .3175303                 .                      .                     .                          .   42085.06             .    169.6618          .                      .                 .                          .                     .              .    45014.21    50797.02    54424.31    41259.66     .9990181  
