ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
de10,.99792692,.,15307.711,4499.3372,5525.0647,.,.,28009.276,33088.784,35084.68,22891.86,11851.63,12883.351,.30218419,.,.,.,.,.,.,.13916694,.14360864,.13916694,.14360865,.32856899,.32731079,.,.,.51429428,.38764128,.35231144,.29027379,.32880075,.32767798,.
de13,.99881801,.,16266.89,4449.3789,5584.0933,.,.,29590.45,35076.942,37092.137,24141.699,12726.156,13786.043,.3113334,.,.,.,.,.,.,.14161951,.14497694,.14161951,.14497694,.33972653,.33726871,.,.,.52821623,.39832747,.36179137,.29610356,.3399703,.3376667,.
gr95,.97717561,.,1289340.2,.,.,.,.,1746116,2187755.9,2214316,.,.,1094367.3,.36506327,.,.,.,.,.,.,.17952752,.,.17952752,.,.39608433,.,.,.,.47119095,.35912987,.35347074,.,.39621349,.,.
gr00,.99032742,.,1807268.3,.,.,.,.,2511901.1,3159727.5,3205189.9,.,.,1734450.7,.34075605,.,.,.,.,.,.,.17088436,.,.17088436,.,.37524051,.,.,.,.4717445,.34714192,.34087879,.,.3754344,.,.
gr04,.99371525,.,7595.6688,2921.7987,4975.2921,.,.,10201.683,12821.413,13051.491,.,6977.2577,7205.6864,.33187079,.,.,.,.,.,.,.16459926,.16686292,.16459926,.16686292,.36232459,.36181613,.,.,.46896682,.34905117,.34032341,.,.36249675,.36200592,.
gr07,.99113959,.,8788.0185,3270.23,5612.7603,.,.,19290.591,22763.707,23247.025,14606.987,8230.1931,8493.2707,.33286671,.,.,.,.,.,.,.15928602,.16135733,.15928602,.16135733,.36654638,.36600801,.,.,.48936801,.38205389,.37891923,.32937579,.36675225,.36624068,.
gr10,.99071239,.,8736.3413,3280.0794,5728.0471,.,.,17029.351,21414.217,21916.134,14293.802,8420.2611,8740.0922,.33274212,.,.,.,.,.,.,.16091509,.16340898,.16091509,.16340898,.36755226,.36685698,.,.,.52080945,.38031939,.36858779,.32553677,.36776809,.36709655,.
gr13,.9978986,.,6390.9381,3058.4436,5109.8735,.,.,11476.004,15081.268,15414.126,10385.444,6775.7108,7069.4137,.35369982,.,.,.,.,.,.,.16439294,.16751437,.16439294,.16751437,.40570035,.40462814,.,.,.56584582,.40286883,.3901512,.34529431,.40609461,.40507331,.
gt06,.99650206,16909.103,9778.0073,1921.3493,4349.3864,.,.,21307.82,21701.629,21992.017,20719.661,.,.,.52703906,.3455988,.35316981,.,.,.,.,.26893903,.,.,.,.,.,.,.,.53374007,.53325634,.52547481,.50369043,.,.,.52703906
gt11,.98759045,.,10143.555,495.57156,3100.8521,.,.,22268.863,22641.795,22719.576,21374.595,.,.,.55222034,.,.,.,.,.,.,.27899431,.,.,.,.,.,.,.,.56061031,.55960464,.55707158,.54852219,.,.,.
gt14,.99753892,19884.094,10870.808,2509.9191,5380.368,.,.,26086.084,26583.59,26869.913,22770.273,.,.,.44927809,.26204848,.27005426,.,.,.,.,.21469559,.,.,.,.,.,.,.,.46259009,.46383377,.45722802,.43269949,.,.,.44927809
hu91,.99230506,124838.39,112730.03,39817.572,39817.582,.,.,139387.27,174721.47,201679.74,.,.,.,.29079075,.1191591,.13867906,.,.,.,.,.14515011,.,.,.,.,.,.,.,.47519606,.34560852,.28946636,.,.,.,.29079075
hu94,.94377781,227031.78,182328.55,72122.441,72122.442,.,.,211094.49,271519.36,309970.96,.,.,.,.33169266,.12493238,.14522588,.,.,.,.,.16082086,.,.,.,.,.,.,.,.5403982,.38843542,.32631789,.,.,.,.33169266
hu05,.97698908,1060555.2,755356.88,148040.42,.,709189.69,714799.76,824230.55,1148341.4,1256347.7,.,709189.65,714799.77,.30561717,.13804577,.14226648,.13804577,.14226648,.34215938,.34080949,.1394959,.13990544,.1394959,.13990544,.35604219,.35829453,.35185477,.35241268,.52791051,.33178304,.28656534,.,.35670283,.35891916,.29489542
hu07,.95883986,1110643.7,837512.68,177778.87,.,822234.04,828825.03,885598.26,1243978.8,1383523.7,.,822234.06,828825.03,.28436478,.13896754,.1395586,.13896754,.1395586,.33362993,.3333354,.12704364,.12607509,.12704363,.12607509,.33786841,.33449053,.34558254,.34804023,.5117692,.3219757,.26795297,.,.33876422,.33546644,.28303559
hu09,.96661397,1259676.9,890281.73,268980.58,.,871751.98,879877.8,898947.49,1320117.9,1463376,.,871751.93,879877.82,.29091383,.13810049,.14299918,.13810049,.14299918,.36400796,.36218951,.12832628,.13670977,.12832628,.13670977,.34868778,.38169743,.36985844,.36945036,.54046653,.3314743,.27163832,.,.34949967,.38240367,.30584285
hu12,.97676698,1295563.6,1015969,299027.92,.,966026.29,976500.79,1070430.8,1514682.4,1662989.5,.,966026.32,976500.78,.30881234,.17294309,.17896378,.17294309,.17896378,.35963399,.35706853,.13815798,.1352502,.13815798,.1352502,.37590953,.36982039,.37026643,.36872275,.5403075,.3474535,.28955752,.,.37693301,.37091867,.30578665
is04,.99763184,.,1544946.1,312817.36,313041.71,.,.,3233846.5,3539183,3681866.1,2553812.3,1710910.3,1777050.9,.2769699,.,.,.,.,.,.,.12078989,.12229428,.12078989,.12229428,.34223954,.34125998,.,.,.37575222,.31505449,.29498099,.26540641,.34358811,.34282191,.
is07,.99903169,.,2201452.1,452197.04,1034704.4,.,.,4605871.2,4995794.6,5150664,3648284.6,2147206.8,2229914.7,.29253424,.,.,.,.,.,.,.13405408,.13456606,.13405408,.13456606,.35193573,.35008567,.,.,.38349674,.3281922,.31092667,.28783907,.35301325,.35139128,.
is10,.99887458,.,2332102,486422.1,1056373.1,.,.,4708085,5267996.7,5573806.9,3816359.4,2695589.2,2852957.2,.26257853,.,.,.,.,.,.,.11614112,.1188421,.11614112,.1188421,.31126324,.30912593,.,.,.40383739,.33169045,.29885698,.25445726,.31220916,.31036342,.
in04,.98382988,20535.158,9894.475,1750.8288,1853.8461,.,.,21654.928,22422.67,22737.408,.,.,.,.50136774,.21500913,.20661086,.,.,.,.,.26185838,.,.,.,.,.,.,.,.50183523,.50069654,.49234002,.,.,.,.50136774
in11,.98575222,48647.95,25496.26,3991.1627,4114.0596,.,.,50655.624,53238.692,54613.621,.,.,.,.5106635,.21756369,.21686538,.,.,.,.,.26588517,.,.,.,.,.,.,.,.53528159,.53079235,.51591938,.,.,.,.5106635
ie87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ie94,.99146939,.,5101.4611,779.97383,780.19705,.,.,7337.4715,8237.3869,10166.199,.,.,.,.36873854,.,.,.,.,.,.,.17458071,.,.,.,.,.,.,.,.51105407,.43080401,.31955516,.,.,.,.
ie95,.97966001,.,5401.4746,851.95707,852.17314,.,.,7858.6361,8844.7295,10810.108,.,.,.,.36966956,.,.,.,.,.,.,.17733691,.,.,.,.,.,.,.,.50439195,.42658638,.32793803,.,.,.,.
ie96,.98908022,.,5753.6051,951.16091,951.37435,.,.,8282.3665,9358.6941,11512.31,.,.,.,.35589176,.,.,.,.,.,.,.17098649,.,.,.,.,.,.,.,.49607826,.41826736,.31861103,.,.,.,.
ie04,.99856102,.,13953.488,2040.5002,7331.7488,.,.,26406.579,29286.559,34688.05,27448.32,12728.98,13101.319,.33780001,.,.,.,.,.,.,.16487166,.16812275,.16487166,.16812275,.38873806,.38793716,.,.,.51620151,.44585428,.35843275,.31314126,.38927754,.38857555,.
ie07,.99844812,.,17199.898,2655.7736,8666.7479,.,.,30764.829,34444.917,41983.554,33711.455,15972.076,16519.643,.31698862,.,.,.,.,.,.,.1545634,.15871429,.1545634,.15871429,.3652238,.36438537,.,.,.51622619,.44096879,.34272612,.29473697,.36580712,.36508036,.
ie10,.99509475,.,14809.513,2494.4431,6865.639,.,.,25037.875,28708.617,37115.686,28768.705,12601.011,13152.375,.31849948,.,.,.,.,.,.,.1538247,.16061769,.1538247,.16061769,.35395638,.3512083,.,.,.5791812,.49756814,.3700063,.30937163,.35423606,.35159308,.
il79,1,.,6309.3167,.,1851.8955,.,.,14764.974,15782.188,16604.52,11722.973,.,.,.36335102,.,.,.,.,.,.,.16889617,.,.,.,.,.,.,.,.43482373,.39011235,.36383131,.30939271,.,.,.
il86,.99954208,.,4875.0003,.,.,.,.,10170.529,11271.913,11935.617,9178.9045,.,.,.36463069,.,.,.,.,.,.,.16990299,.,.,.,.,.,.,.,.48716103,.42238052,.38341715,.31593818,.,.,.
il92,1,36371.108,15052.746,4508.5086,9294.4275,.,.,29728.791,32773.099,35285.989,28247.955,.,.,.35509054,.24665712,.2555232,.,.,.,.,.16563571,.,.,.,.,.,.,.,.47979548,.42379974,.37178238,.31417646,.,.,.35509054
il97,1,62624.078,26110.925,7081.3932,16273.945,.,.,53160.711,58823.409,63395.21,48291.805,.,.,.38099295,.28348874,.2954768,.,.,.,.,.18160828,.,.,.,.,.,.,.,.5074398,.45266536,.40149135,.34100137,.,.,.38099295
il01,.99731354,54541.695,33771.675,5451.3419,17362.799,.,.,66726.255,75234.25,81769.775,62102.596,.,.,.38949875,.21236438,.21924353,.,.,.,.,.18492993,.,.,.,.,.,.,.,.54858261,.48144886,.42082565,.35661755,.,.,.38949875
