    ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    de04        1          .   14340.56    4137.726                   .9747515                13658.26  
    de04       30          .      20861    3630.926                   1.121454                15959.16  
    de04       50          .      23721    3877.607                   1.236817                 17797.1  
    de04       65          .    18767.1    3929.629                   1.004233                14049.06  
    de07        1          .   16132.65     4157.65                    .988853                14828.23  
    de07       30          .   22274.73    3742.882                   1.116556                17071.33  
    de07       50          .   26166.07    4183.788                   1.258054                19461.33  
    de07       65          .   19616.75     4133.68                   1.005594                15256.35  
    de10        1          .   16122.56      4766.3                   .9714525                15435.45  
    de10       30          .   23891.32     4306.49                   1.119558                18158.62  
    de10       50          .   25992.82    4505.159                   1.207785                19675.82  
    de10       65          .   20061.97    4775.206                   .9912412                15817.45  
    de13        1          .   17768.45    4730.924                   .9848536                16589.75  
    de13       30          .   24516.45     4329.48                   1.125572                19243.48  
    de13       50          .   27973.47    4382.335                   1.222944                21137.43  
    de13       65          .   21640.39    4628.524                   .9983687                16901.62  
    de73        1   10588.92   14158.55    1184.169                   1.095687                       .  
    de73       30      10554   15826.33     713.312                   1.160552                       .  
    de73       50   11061.94   16405.03    620.6772                   1.175405                       .  
    de73       65   8991.993   12916.02    819.0023                   1.031555                       .  
    de78        1   14039.87   19255.03    1496.168                   1.060758                       .  
    de78       30   15113.58   23071.47    878.9169                   1.168947                       .  
    de78       50   15644.67   23941.95    788.4694                   1.186335                       .  
    de78       65   12282.86   18241.55    1116.426                   1.019959                       .  
    de81        1          .   20567.16           .                   1.088761                       .  
    de81       30          .   21887.29           .                   1.135731                       .  
    de81       50          .   23375.15           .                   1.178097                       .  
    de81       65          .   18857.93           .                   1.038251                       .  
    de83        1   18976.81    23254.6    2506.968                    1.02421                       .  
    de83       30   22399.83   29276.02    1346.234                     1.1709                       .  
    de83       50   23254.72   30292.95    1183.199                   1.185295                       .  
    de83       65   18486.64   23603.57    1871.104                   1.031606                       .  
    de84        1          .   19497.31    3401.617                   1.113539                       .  
    de84       30          .   23821.44    2624.511                   1.093145                       .  
    de84       50          .   25639.05    2723.499                   1.177489                       .  
    de84       65          .   20301.26    2964.901                   .9482327                       .  
    de89        1          .   25486.85    4896.065                   1.091037                       .  
    de89       30          .   28903.16    4213.917                   1.115007                       .  
    de89       50          .   30306.17    4390.606                    1.16403                       .  
    de89       65          .   24441.85    4834.461                    .947943                       .  
    de94        1          .   27595.61    6235.942                   1.063545                       .  
    de94       30          .   33002.02    6101.889                    1.13279                       .  
    de94       50          .   36636.12    6078.619                   1.223549                       .  
    de94       65          .   28316.13    6315.285                   .9724691                       .  
    dk00        1          .     150448    28512.22                   .9929099                168147.5  
    dk00       30          .   185495.3    30293.17                   1.124034                190480.1  
    dk00       50          .   212708.1    33392.03                   1.210478                189124.5  
    dk00       65          .     133795    34217.01                   .9319715                154727.7  
    dk04        1          .   163282.3    21211.35                   .9495758                  156193  
    dk04       30          .   209486.3    16778.93                   1.143127                195337.1  
    dk04       50          .     242668    19057.17                   1.277552                  218053  
    dk04       65          .   157661.3    24336.41                   .9282024                149670.7  
    dk07        1          .   174659.9    811.5097                   .9569573                207062.7  
    dk07       30          .     235904    2276.987                   1.130936                234403.9  
    dk07       50          .     268387    3317.303                   1.207795                243410.6  
    dk07       65          .   168262.8    2534.631                    .930078                187597.1  
    dk10        1          .   179578.1    524.4991                   .9277909                202234.1  
    dk10       30          .   262018.3    1886.473                   1.142486                235788.5  
    dk10       50          .   300591.4    2686.351                    1.22316                245321.5  
    dk10       65          .   191865.2    2290.742                   .9545534                189374.5  
    dk13        1          .   181394.6    423.5334                   .9191315                  205210  
    dk13       30          .   272339.8    1849.611                   1.149574                241747.9  
    dk13       50          .   307505.4    2614.097                   1.228952                251246.3  
    dk13       65          .   204446.8    2409.868                   .9758227                  195721  
    dk87        1          .   113406.6    167.6524                   1.071655                       .  
    dk87       30          .   130081.1    410.9346                   1.169204                       .  
    dk87       50          .   122734.2    470.8802                   1.130279                       .  
    dk87       65          .   75011.02    159.1341                    .869363                       .  
    dk92        1          .     108797    136.0005                   .9818408                       .  
    dk92       30          .   143449.6    371.6557                   1.147991                       .  
    dk92       50          .   157005.8    493.0099                   1.203174                       .  
    dk92       65          .   98572.32    173.7681                   .9266723                       .  
    dk95        1          .   129947.8     25247.9                   1.005367                131439.8  
    dk95       30          .   157574.5    27435.41                   1.128946                145558.8  
    dk95       50          .   177598.6    30163.26                   1.201888                145741.7  
    dk95       65          .   113688.7     29014.8                   .9333689                120971.7  
    do07        1   97107.42   92419.47    10931.95                    1.18547                       .  
    do07       30   111341.7   119538.9    12972.78                   1.449661                       .  
    do07       50   113425.7     131207    10688.86                   1.530766                       .  
    do07       65   79397.02   95208.52    7467.503                   1.152136                       .  
    ee00        1   49884.88   51701.14    6704.813                   1.221446                50364.67  
    ee00       30    48438.9   49129.47    5556.296                    1.18487                48979.37  
    ee00       50   46205.91   46572.77    6862.482                   1.183723                48761.93  
    ee00       65   30161.42   31527.43    5495.329                   .8430324                34648.82  
    ee04        1          .   73353.65    8586.331                   1.167527                77887.98  
    ee04       30          .   72547.72    8681.617                   1.226388                81879.07  
    ee04       50          .    68323.8     9036.55                   1.177314                78501.73  
    ee04       65          .   42377.19    7804.587                   .7897654                52408.55  
    ee07        1          .   124530.9    12192.59                   1.155099                124072.4  
    ee07       30          .   124538.5    10882.15                   1.215155                131070.3  
    ee07       50          .   112648.8    11027.86                   1.146671                123469.8  
    ee07       65          .    67560.3    10069.91                   .7931637                84718.19  
    ee10        1          .     116386    15198.34                   1.137015                108569.5  
    ee10       30          .   129330.5    13645.07                   1.232836                118092.6  
    ee10       50          .     112599    14403.86                   1.140813                109064.2  
    ee10       65          .   81640.66    13284.25                   .8352656                79477.34  
    ee13        1          .   9844.415    1245.959                   1.150821                9843.938  
    ee13       30          .   11132.56    1084.271                   1.263301                10858.51  
    ee13       50          .   10167.17    1079.334                   1.166649                10012.99  
    ee13       65          .   6021.066    1001.423                   .8006226                6822.208  
    eg12        1          .   8059.565           .                   1.092453                       .  
    eg12       30          .   9950.202           .                   1.178146                       .  
    eg12       50          .   14623.19           .                    1.42197                       .  
    eg12       65          .   15665.42           .                   1.416497                       .  
    es00        1          .    1973968    63294.81                    1.09577                 1880411  
