ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
pl13,20500.086,15917.224,4355.0954,4430.7833,15622.002,15833.658,15622.002,15833.658,.34734932,.19615704,.20591762,.19615704,.20591762,.37979322,.37763691,.20267393,.20325246,.20267393,.20325246,.37839478,.37820765,.38483535,.38440965,.51046295,.35545868,.33070594,.33051064,.37839478,.37821071,.34734932
ro95,2490447.7,1413332.2,283032.94,283032.99,.,.,.,.,.31301148,.20943576,.19959989,.,.,.,.,.17954682,.,.,.,.,.,.,.,.38257742,.31837048,.30386532,.28744462,.,.,.31301148
ro97,8202150.2,4570363.3,1051898.1,1051898.2,.,.,.,.,.30685892,.20776065,.18795742,.,.,.,.,.17711092,.,.,.,.,.,.,.,.3787988,.31531057,.29846748,.28523846,.,.,.30685892
ru00,35657.803,15370.12,1334.6907,1334.8523,.,.,.,.,.42006066,.2011645,.20123185,.,.,.,.,.24426518,.,.,.,.,.,.,.,.53870487,.4358384,.42680988,.,.,.,.42006066
ru04,68385.852,43757.078,9785.0102,.,.,.,.,.,.38216062,.21334701,.22704724,.,.,.,.,.22796682,.,.,.,.,.,.,.,.51644759,.40966976,.40161136,.,.,.,.37614701
ru10,171937.38,131636.63,32492.282,.,.,.,.,.,.34166041,.17648188,.17901484,.,.,.,.,.20248905,.,.,.,.,.,.,.,.46430322,.35553292,.34462435,.,.,.,.33076489
ru13,.,258345.23,.,.,.,.,.,232364.61,.36620245,.,.,.,.,.,.,.21610768,.,.,.,.,.,.,.,.46671172,.3839719,.35979573,.35158329,.,.,.
rs06,224371.64,117062.45,35755.345,96214.226,.,.,.,.,.36088426,.14142515,.14756674,.,.,.,.,.21934384,.,.,.,.,.,.,.,.48667409,.3578137,.34463304,.,.,.,.36088426
rs10,292868.86,180163.59,46205.549,118430.61,.,.,.,.,.33902526,.1414394,.14323866,.,.,.,.,.20646707,.,.,.,.,.,.,.,.53171202,.34842525,.33118343,.,.,.,.33902526
rs13,373682.34,219812.45,58829.781,142648.5,.,.,.,.,.35516572,.13427808,.13331805,.,.,.,.,.21235993,.,.,.,.,.,.,.,.55036309,.36691661,.3480687,.,.,.,.35516572
sk92,.,25599.375,.,.,.,.,.,.,.20184124,.,.,.,.,.,.,.11567967,.,.,.,.,.,.,.,.40414441,.28262671,.2160994,.18997902,.,.,.
sk96,.,42562.422,.,.,.,.,.,.,.26278677,.,.,.,.,.,.,.1559487,.,.,.,.,.,.,.,.43415908,.29689207,.25005963,.,.,.,.
sk04,.,83615.638,30701.009,32505.833,.,.,.,.,.26987626,.,.,.,.,.,.,.15667352,.,.,.,.,.,.,.,.45418924,.33118074,.30101504,.26876433,.,.,.
sk07,.,118164.14,29966.588,50314,.,.,.,.,.24687329,.,.,.,.,.,.,.14413248,.,.,.,.,.,.,.,.41923937,.29585108,.27781481,.2485894,.,.,.
sk10,.,4696.689,1305.963,2206.5942,.,.,.,.,.27353832,.,.,.,.,.,.,.16039301,.,.,.,.,.,.,.,.43495964,.30878067,.28453656,.26677864,.,.,.
sk13,.,5048.2908,1344.6426,2172.8376,.,.,.,.,.28092543,.,.,.,.,.,.,.16623255,.,.,.,.,.,.,.,.43051006,.31422874,.29049677,.27210232,.,.,.
si97,1443668.8,739617.44,134245.47,134245.47,666314.69,669955.76,666314.67,669955.78,.24121954,.15149605,.15796626,.15149605,.15796626,.26643729,.26471194,.14095883,.14124611,.14095883,.14124611,.2693989,.26943003,.28020344,.28074896,.36927128,.25608709,.23093712,.,.2693989,.26943046,.24121954
si99,1517615,851666.77,154642.37,154642.37,788214.74,792428.25,788214.76,792428.29,.24043558,.14775052,.1543333,.14775052,.1543333,.26890314,.26686178,.14026824,.14053839,.14026824,.14053839,.27120127,.27109566,.28267019,.28323017,.37470065,.25874672,.23319422,.,.27120127,.27109609,.24043558
si04,2217673.2,1385184.3,252591.43,252591.43,1256645.1,1264950.6,1256645.1,1264950.6,.24115233,.14815206,.15745726,.14815206,.15745726,.26763713,.26496699,.14012629,.1405517,.14012629,.14055171,.26992273,.26977731,.28010972,.28020573,.39925592,.26184307,.23271137,.,.26992273,.26977785,.24115233
si07,10243.566,6880.5047,1259.9577,3406.2178,6092.5586,6134.4329,6092.5586,6134.433,.23765422,.14345456,.15458517,.14345456,.15458517,.26426235,.26110011,.13877395,.13928724,.13877395,.13928723,.26558446,.26541789,.27503507,.27457785,.3990588,.26277152,.2317871,.,.26558446,.26541855,.23765422
si10,11456.452,8017.9512,1527.4874,4266.0307,7344.3831,7403.9276,7344.3833,7403.9271,.25663501,.1455349,.15742869,.1455349,.15742869,.28815243,.28475258,.15230914,.15299087,.15230914,.15299087,.28623068,.28601037,.29776055,.29704749,.41886509,.28276605,.25378148,.,.28623068,.28601126,.25663501
si12,11359.589,8596.1418,1824.7351,3530.2731,8062.8291,8123.9526,8062.829,8123.9526,.27340404,.10510221,.11876197,.10510221,.11876197,.32311302,.31904383,.15988695,.16084338,.15988695,.16084337,.30693201,.30662427,.33194431,.33086818,.45237126,.30579721,.27253896,.,.30693201,.30662551,.27340404
za08,27414.253,18162.901,3070.2687,8451.88,.,19332.12,.,19332.12,.69628296,.55717883,.53251938,.55717883,.,.72573511,.,.44068224,.,.44068224,.,.75040062,.,.74036161,.,.76364475,.75830887,.68406248,.6767979,.75040074,.,.69628296
za10,24279.764,23089.091,2980.0306,8650.15,.,23507.974,.,23507.974,.74013231,.53409583,.52390702,.53409583,.,.78211363,.,.43083766,.,.43083766,.,.80315318,.,.80221357,.,.73951357,.73071574,.64366468,.61364823,.80315318,.,.74013231
za12,26113.51,23871.338,3801.081,9934.5627,.,24430.84,.,24430.839,.65722349,.50575309,.50485317,.50575309,.,.6903781,.,.40788124,.,.40788124,.,.71180077,.,.70057343,.,.74628396,.74037186,.65975641,.61027601,.71180079,.,.65722349
kr06,12045735,9903055.2,1213779.3,.,.,.,.,.,.31687819,.17061387,.17873195,.,.,.,.,.18867568,.,.,.,.,.,.,.,.36099185,.3531007,.34194182,.33517666,.,.,.31687819
kr08,13071021,10982938,1318194.6,.,.,.,.,.,.32315934,.17221241,.17904231,.,.,.,.,.19206528,.,.,.,.,.,.,.,.37623791,.36665837,.35250266,.34484697,.,.,.32315934
kr10,14290615,11780044,1476454.7,.,.,.,.,.,.32001614,.17135911,.17966125,.,.,.,.,.19058919,.,.,.,.,.,.,.,.36468336,.35394125,.33880926,.33243091,.,.,.32001614
kr12,15477747,13218286,1650341.5,.,.,.,.,.,.31543084,.16958501,.17913199,.,.,.,.,.18808725,.,.,.,.,.,.,.,.36257169,.35155661,.337416,.33082555,.,.,.31543084
es80,471544.23,176248.29,85380.859,85380.859,.,.,.,.,.34466216,.18422598,.17768944,.,.,.,.,.20211215,.,.,.,.,.,.,.,.41950522,.41950522,.32028888,.,.,.,.34466216
es85,688489.93,308534.05,58986.702,147812.96,.,.,.,.,.34447023,.18795182,.18515582,.,.,.,.,.2000804,.,.,.,.,.,.,.,.43591265,.33760578,.31424172,.,.,.,.34447023
es90,1081779.1,546744.05,127047.01,309397.08,.,.,.,.,.32234827,.15046736,.14462575,.,.,.,.,.18811123,.,.,.,.,.,.,.,.42920789,.32772538,.30817589,.,.,.,.32234827
es95,.,870527.1,86118.64,86119.02,.,.,.,.,.36402252,.,.,.,.,.,.,.21649319,.,.,.,.,.,.,.,.50778715,.37961104,.35404139,.,.,.,.
es00,.,1224090.7,20255.293,20255.817,.,.,1143106.1,1158565.5,.34229171,.,.,.,.,.,.,.20070283,.20071195,.20070283,.20071195,.36840122,.36837109,.,.,.48133581,.35766681,.34052837,.,.36840122,.36842003,.
es04,.,8049.9327,1396.2414,4844.1753,.,.,7352.1476,7481.8323,.33208117,.,.,.,.,.,.,.19789366,.19120292,.19789366,.19120292,.3564802,.34707322,.,.,.45181082,.33568356,.32305947,.32144735,.3564802,.34707518,.
es07,.,9863.4387,1491.0874,4595.599,.,.,9477.7026,9674.8524,.31762609,.,.,.,.,.,.,.18963645,.19216018,.18963644,.19216018,.34165498,.34121106,.,.,.44897343,.35178558,.32991405,.30681668,.34165498,.34121585,.
es10,.,9730.3535,1803.4973,4895.5333,.,.,8736.5609,8977.3023,.34220827,.,.,.,.,.,.,.20826948,.21251294,.20826948,.21251294,.36300555,.36224048,.,.,.50779101,.38806486,.35490494,.33466417,.36300555,.36224481,.
es13,.,10661.857,1881.3031,4759.5115,.,.,9667.7595,9964.017,.3599701,.,.,.,.,.,.,.21914861,.22381673,.21914861,.22381673,.38545771,.38453394,.,.,.53086071,.41967223,.38134002,.34604722,.38545771,.38454074,.
se67,.,7440.3034,.,.,.,.,.,.,.29812325,.,.,.,.,.,.,.1809294,.,.,.,.,.,.,.,.39234701,.33897038,.31693748,.26049464,.,.,.
se75,.,17811.611,.,.,.,.,.,.,.24143947,.,.,.,.,.,.,.14203891,.,.,.,.,.,.,.,.40617411,.31880786,.2758645,.21546634,.,.,.
se81,.,34445.502,.,5540.062,.,.,.,.,.22782248,.,.,.,.,.,.,.13551244,.,.,.,.,.,.,.,.41175112,.29302629,.2399419,.19631807,.,.,.
se87,.,55035.23,.,.,.,.,.,.,.23052771,.,.,.,.,.,.,.13516326,.,.,.,.,.,.,.,.43710019,.30981437,.25688958,.21654771,.,.,.
se92,.,90811.924,.,.,.,.,.,.,.24899294,.,.,.,.,.,.,.14674133,.,.,.,.,.,.,.,.46805407,.34481976,.26304853,.2322294,.,.,.
se95,.,93933.084,.,.,.,.,.,87786.733,.25222512,.,.,.,.,.,.,.14953206,.,.14953206,.,.28266332,.,.,.,.49948594,.37339468,.2663165,.22540047,.28266332,.,.
se00,.,110422.69,34078.047,34078.049,.,.,100103.11,111513.16,.27238702,.,.,.,.,.,.,.15653848,.16693691,.15653848,.16693691,.3071685,.30283665,.,.,.49006876,.36581894,.29859389,.26064483,.3071685,.30291287,.
se05,.,134937.81,40114.576,40114.576,.,.,120418.72,133093.77,.25968189,.,.,.,.,.,.,.14964065,.15338743,.14964065,.15338743,.29238933,.2799291,.,.,.48346272,.34764417,.27957166,.24368942,.29238933,.27999535,.
ch82,.,22646.05,.,3259.7285,.,.,.,.,.35712837,.,.,.,.,.,.,.20044949,.,.,.,.,.,.,.,.4182787,.35373253,.3482092,.32529305,.,.,.
ch92,.,29331.721,8784.7788,8980.0213,.,.,.,.,.33613209,.,.,.,.,.,.,.19377366,.,.,.,.,.,.,.,.40648519,.33166193,.32095606,.30563309,.,.,.
ch00,34709.472,31794.94,7625.591,7625.5926,.,27873.28,.,27873.282,.33434424,.15509805,.1639121,.15509805,.,.35329033,.,.1918459,.,.1918459,.,.34940614,.,.35554251,.,.40439342,.3087413,.29053421,.29448832,.34940614,.,.33434425
ch02,35135.526,33391.29,7595.711,7595.7123,.,29221.885,.,29221.886,.31687855,.15069508,.15664125,.15069508,.,.33422412,.,.18490176,.,.18490176,.,.33065376,.,.33617301,.,.40588271,.30404771,.28353464,.28145323,.33065376,.,.31687855
