   ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch02              31   28760.61   36134.76    7772.096                   .9577591                       .  
    ch02              32   28017.03   36635.03    6294.179                   .9068716                       .  
    ch02              33   26646.05   36984.29     7890.17                   .9858631                       .  
    ch02              34   34950.92      37427    6554.312                   .9059369                       .  
    ch02              35   20164.03   37966.22    5269.208                   .8564823                       .  
    ch02              36   25646.63   38540.49    7819.963                   1.016625                       .  
    ch02              37   30234.88   39028.16    7359.224                   .9483022                       .  
    ch02              38   31201.97    39630.7    6909.841                   .9395009                       .  
    ch02              39   30213.85   40245.12    5373.966                   .8922812                       .  
    ch02              40   37051.19   40893.93    8000.118                   1.019722                       .  
    ch02              41   31223.82   41658.63    6638.898                   .9547115                       .  
    ch02              42   37513.18   42240.71    7169.576                   .9966794                       .  
    ch02              43   30999.54   42736.93    8335.792                   1.057171                       .  
    ch02              44   29287.56   43222.91     6915.79                   .9743931                       .  
    ch02              45   32253.88   43634.99    7432.889                   1.019679                       .  
    ch02              46   27873.28   44069.68    6838.049                   .9844843                       .  
    ch02              47   39976.18   44654.59    6846.449                   .9912617                       .  
    ch02              48   29905.64   45168.85    7612.583                   1.041047                       .  
    ch02              49   30050.19   45653.73    5881.641                   .9279837                       .  
    ch02              50   31307.69   46207.09    7556.476                   1.065608                       .  
    ch02              51   34349.38   46873.12    8147.163                   1.061134                       .  
    ch02              52   31589.18    47380.8    8195.015                   1.063094                       .  
    ch02              53    34994.5    47859.4    7439.539                   1.050192                       .  
    ch02              54   39716.04   48466.03    7286.869                   1.019551                       .  
    ch02              55   32384.98   49064.59    6601.515                   1.030892                       .  
    ch02              56   40302.95   49535.12    10192.87                   1.202882                       .  
    ch02              57   30673.88   50079.82    6647.427                   1.040667                       .  
    ch02              58   37487.54    50718.1    8476.413                   1.162348                       .  
    ch02              59   30792.23   51264.19    6939.134                   1.007217                       .  
    ch02              60   41578.61   52047.84    7872.931                   1.104318                       .  
    ch02              61   31692.98   52746.59     7409.77                   1.059643                       .  
    ch02              62   34756.79   53369.55    8805.303                   1.187717                       .  
    ch02              63   34209.58   54326.36    6613.664                   1.051942                       .  
    ch02              64   37881.34   54984.21    6869.188                   1.093678                       .  
    ch02              65   32928.18   55560.07    5891.655                   1.034987                       .  
    ch02              66   47833.68   56197.65    7343.678                   1.099282                       .  
    ch02              67   42927.31    56834.9    7825.282                   1.169429                       .  
    ch02              68   41024.04   57485.14    10752.35                   1.287014                       .  
    ch02              69   39770.95   58419.56    9247.115                   1.282533                       .  
    ch02              70   35852.96   59102.38    7782.738                   1.162008                       .  
    ch02              71   30891.42   59770.28    5857.686                   1.034097                       .  
    ch02              72   40250.52   60559.01    9064.629                   1.276225                       .  
    ch02              73   47591.49   61342.27    8290.363                   1.222703                       .  
    ch02              74   46334.88   62262.24    8465.071                    1.24071                       .  
    ch02              75   43327.86   63063.36    9901.804                   1.347533                       .  
    ch02              76   42348.78   64202.22    9693.439                   1.301043                       .  
    ch02              77   36623.47   65179.77    6436.508                   1.139601                       .  
    ch02              78   38181.02   66068.24    9307.839                   1.347555                       .  
    ch02              79   43013.76    67016.6    10537.97                   1.386934                       .  
    ch02              80   42983.61   68253.66     9119.16                   1.291767                       .  
