ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
pe13,9873.9382,13856.83,962.42814,3814.946,.,.,.,.,.4542283,.29781917,.29385054,.,.,.,.,.29331843,.,.,.,.,.,.,.,.,.,.4542283
pl86,.,293925.39,.,39211.559,.,.,.,.,.27084148,.,.,.,.,.,.,.16675163,.,.,.,.,.,.,.,.,.,.
pl92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pl95,.,6200.6029,.,994.08983,.,.,.,5186.5606,.31113152,.,.,.,.,.,.,.19535783,.,.19535783,.,.33762725,.,.,.,.34016987,.,.
pl99,.,12168.014,.,2041.9378,.,.,.,10626.272,.2872873,.,.,.,.,.,.,.18746926,.,.18746926,.,.30749103,.,.,.,.31018294,.,.
pl04,.,15190.777,.,2804.2178,.,.,.,14532.563,.31555393,.,.,.,.,.,.,.2009788,.,.2009788,.,.33931951,.,.,.,.34166962,.,.
pl07,16331.333,19674.007,4504.3193,4568.7592,18918.116,19261.518,18918.116,19261.518,.31551541,.26477492,.28191152,.26477492,.28191152,.32811385,.32383596,.22170302,.22173794,.22170303,.22173794,.33880824,.33873534,.33534439,.33408871,.34093725,.34076843,.31551541
pl10,21059.835,26197.105,6395.2822,6477.9843,25216.216,25592.937,25216.215,25592.934,.32059359,.24995968,.26326001,.24995968,.26326,.33671397,.33364619,.22845139,.22858569,.22845139,.22858569,.34162269,.34154016,.34105836,.34087784,.3429822,.34284613,.32059359
pl13,20500.086,27735.272,4355.0954,4430.7833,27220.858,27589.66,27220.858,27589.662,.31590422,.211857,.23045039,.211857,.23045039,.33823141,.33420416,.17779456,.17826695,.17779456,.17826695,.34554077,.34537924,.34337419,.34098024,.3471407,.34689644,.31590422
ro95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ro97,8202150.2,8209498.3,1051898.1,1051898.2,.,.,.,.,.28384438,.23266437,.21231156,.,.,.,.,.25625326,.,.,.,.,.,.,.,.,.,.28384438
ru00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ru13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
rs06,223745.33,219363.44,36127.938,96214.226,.,.,.,.,.33474934,.15371006,.16544742,.,.,.,.,.18343706,.,.,.,.,.,.,.,.,.,.33474934
