    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at07              82          .   33451.26    3561.873                   1.344344                23774.91  
    at07              83          .   34124.69    2659.933                   1.313188                23405.26  
    at07              84          .    34691.3     3467.67                   1.376381                24381.11  
    at07              85          .   35363.17    2867.666                   1.324903                23573.32  
    at07              86          .   36080.96    2937.682                   1.353822                24086.23  
    at07              87          .   36915.16    3103.564                   1.444527                25706.82  
    at07              88          .   38080.85    3001.559                   1.466085                26123.31  
    at07              89          .   38979.81    2615.578                   1.461323                26121.72  
    at07              90          .   39699.12    3050.002                   1.438908                25616.02  
    at07              91          .   40527.74    2930.551                   1.460272                26032.81  
    at07              92          .    41904.1    2805.825                   1.482747                26471.06  
    at07              93          .   43437.33    3375.208                    1.50488                26749.45  
    at07              94          .   45254.32    3117.041                   1.572956                28050.44  
    at07              95          .   47573.47    3657.421                   1.636215                29086.69  
    at07              96          .   50545.23    3725.026                   1.604145                28485.76  
    at07              97          .   53895.87     3327.21                   1.676141                29889.28  
    at07              98          .   58547.54    3343.192                    1.80526                32244.93  
    at07              99          .   68004.85    4081.219                   2.051884                 36587.8  
    at07             100          .   100365.6     4437.23                   2.478462                44303.23  
    at10               1          .   1853.725    4592.727                   .7180455                13952.85  
    at10               2          .   5521.984    3495.748                    .749319                14880.08  
    at10               3          .   7685.875    3802.266                   .7485197                14787.78  
    at10               4          .   8937.297    3404.684                   .7669556                15273.02  
    at10               5          .   9958.775    3457.904                   .7498237                14900.01  
    at10               6          .   10511.43    3133.958                   .7460461                14900.46  
    at10               7          .   10977.55    3389.593                   .7636836                   15208  
    at10               8          .   11457.71    3293.647                   .7626679                 15210.3  
    at10               9          .    11968.1     3685.54                   .7701072                15270.03  
    at10              10          .   12468.95    3347.816                   .7594568                 15129.5  
    at10              11          .   12815.02    3217.266                   .7403348                14759.95  
    at10              12          .   13258.17    3470.443                   .7713253                15348.61  
    at10              13          .   13713.08    3583.665                   .8023607                15972.69  
    at10              14          .   14067.36    3442.103                   .7914963                15779.33  
    at10              15          .   14406.48     3349.06                   .8054613                16095.63  
    at10              16          .   14818.74    3238.647                   .8083019                 16182.5  
    at10              17          .   15186.78    3111.163                   .7925518                15883.04  
    at10              18          .   15480.04    3637.161                   .8123224                16168.78  
    at10              19          .   15735.95    2834.857                   .8209292                16547.25  
    at10              20          .   16009.37    3072.283                   .8266331                16608.58  
    at10              21          .    16332.4    3655.003                   .8396705                 16738.9  
    at10              22          .    16625.8    3698.949                   .8725484                17418.76  
    at10              23          .   16901.74    3342.796                   .8391211                16804.28  
    at10              24          .   17132.41    3447.951                   .8878693                17802.45  
    at10              25          .   17446.98    3397.331                   .8654903                17344.79  
    at10              26          .   17762.17    3530.003                   .8881647                17788.44  
    at10              27          .   18072.29    3499.463                   .9054744                 18159.6  
