"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,40599.196,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,46130.061,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,54105.54,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,59878.805,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,68055.986,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,73603.256,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,79043.163,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,84538.074,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,91938.57,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,96393.509,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,104307.846,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,110506.023,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,119389.867,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,126978.258,"E","Estimated value"
