"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,91141,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,100374,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,107356,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,114130,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,122068,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,130307,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,137607,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,94176.7,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,98344.62,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,100240.24,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,103379.7,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,105880.29,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,111481.75,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,115630.78,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,117505.1,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,121396.19,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,126450.21,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,132432.48,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,138117.9,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,142952.95,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,147157.84,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,148509.94,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,152703.14,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,159774.88,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,164309.81,,
"AUT","Austria","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,167668.86,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,98170.69,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,102031.03,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,103683.84,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,107013.18,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,109882.29,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,115630.7,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,119789.23,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,122108.28,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,125922.98,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,131266.07,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,137558.43,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,143130.14,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,148404.73,,
