"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,161071.6,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,168691.7,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,176572.3,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,181866,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,182485.3,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,183691.9,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,189085.2,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,196194.6,,
"AUT","Austria","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,196962.8,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,97113.8,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,101384.5,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,103459.7,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,106731.6,,
