"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1965","1965","EUR","Euro","9","Billions",,,1.159713,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1966","1966","EUR","Euro","9","Billions",,,1.261528,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1967","1967","EUR","Euro","9","Billions",,,1.287835,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1968","1968","EUR","Euro","9","Billions",,,1.528237,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1969","1969","EUR","Euro","9","Billions",,,1.621549,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1970","1970","EUR","Euro","9","Billions",,,1.807301,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1971","1971","EUR","Euro","9","Billions",,,2.09385,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1972","1972","EUR","Euro","9","Billions",,,2.473783,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1973","1973","EUR","Euro","9","Billions",,,2.912437,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1974","1974","EUR","Euro","9","Billions",,,3.24695,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1975","1975","EUR","Euro","9","Billions",,,3.655298,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1976","1976","EUR","Euro","9","Billions",,,4.390965,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1977","1977","EUR","Euro","9","Billions",,,4.714505,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1978","1978","EUR","Euro","9","Billions",,,5.012463,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1979","1979","EUR","Euro","9","Billions",,,5.571027,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1980","1980","EUR","Euro","9","Billions",,,5.984317,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1981","1981","EUR","Euro","9","Billions",,,6.577982,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1982","1982","EUR","Euro","9","Billions",,,6.819691,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1983","1983","EUR","Euro","9","Billions",,,7.455433,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1984","1984","EUR","Euro","9","Billions",,,8.543128,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1985","1985","EUR","Euro","9","Billions",,,8.856057,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1986","1986","EUR","Euro","9","Billions",,,9.172329,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1987","1987","EUR","Euro","9","Billions",,,9.506333,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1988","1988","EUR","Euro","9","Billions",,,9.854582,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1989","1989","EUR","Euro","9","Billions",,,10.525061,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1990","1990","EUR","Euro","9","Billions",,,11.229479,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1991","1991","EUR","Euro","9","Billions",,,11.893273,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1992","1992","EUR","Euro","9","Billions",,,12.569857,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1993","1993","EUR","Euro","9","Billions",,,12.790491,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1994","1994","EUR","Euro","9","Billions",,,14.721481,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1995","1995","EUR","Euro","9","Billions",,,13.436045,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1996","1996","EUR","Euro","9","Billions",,,14.672599,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1997","1997","EUR","Euro","9","Billions",,,15.303727,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1998","1998","EUR","Euro","9","Billions",,,15.736487,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","1999","1999","EUR","Euro","9","Billions",,,16.722176,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2000","2000","EUR","Euro","9","Billions",,,16.856937,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2001","2001","EUR","Euro","9","Billions",,,17.263733,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2002","2002","EUR","Euro","9","Billions",,,17.972706,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2003","2003","EUR","Euro","9","Billions",,,17.903594,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2004","2004","EUR","Euro","9","Billions",,,18.585423,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2005","2005","EUR","Euro","9","Billions",,,19.42092,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2006","2006","EUR","Euro","9","Billions",,,19.710419,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2007","2007","EUR","Euro","9","Billions",,,20.940777,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2008","2008","EUR","Euro","9","Billions",,,21.906939,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2009","2009","EUR","Euro","9","Billions",,,22.178675,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2010","2010","EUR","Euro","9","Billions",,,22.710502,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2011","2011","EUR","Euro","9","Billions",,,23.444307,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2012","2012","EUR","Euro","9","Billions",,,24.544235,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2013","2013","EUR","Euro","9","Billions",,,24.919644,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2014","2014","EUR","Euro","9","Billions",,,25.408119,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2015","2015","EUR","Euro","9","Billions",,,26.266164,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUT","Austria","2016","2016","EUR","Euro","9","Billions",,,27.285409,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1965","1965","EUR","Euro","9","Billions",,,1.355234,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1966","1966","EUR","Euro","9","Billions",,,1.650475,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1967","1967","EUR","Euro","9","Billions",,,1.823257,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1968","1968","EUR","Euro","9","Billions",,,1.922166,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1969","1969","EUR","Euro","9","Billions",,,2.088999,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1970","1970","EUR","Euro","9","Billions",,,1.1234,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1971","1971","EUR","Euro","9","Billions",,,2.6762,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1972","1972","EUR","Euro","9","Billions",,,2.6375,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1973","1973","EUR","Euro","9","Billions",,,2.9929,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1974","1974","EUR","Euro","9","Billions",,,3.6541,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1975","1975","EUR","Euro","9","Billions",,,3.7762,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1976","1976","EUR","Euro","9","Billions",,,4.6574,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1977","1977","EUR","Euro","9","Billions",,,5.212,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1978","1978","EUR","Euro","9","Billions",,,5.6547,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1979","1979","EUR","Euro","9","Billions",,,6.1189,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1980","1980","EUR","Euro","9","Billions",,,6.321,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1981","1981","EUR","Euro","9","Billions",,,6.9626,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1982","1982","EUR","Euro","9","Billions",,,7.3634,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1983","1983","EUR","Euro","9","Billions",,,7.852,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1984","1984","EUR","Euro","9","Billions",,,8.2222,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1985","1985","EUR","Euro","9","Billions",,,8.7353,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1986","1986","EUR","Euro","9","Billions",,,8.8662,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1987","1987","EUR","Euro","9","Billions",,,9.4345,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1988","1988","EUR","Euro","9","Billions",,,10.1972,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1989","1989","EUR","Euro","9","Billions",,,10.9289,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1990","1990","EUR","Euro","9","Billions",,,11.5697,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1991","1991","EUR","Euro","9","Billions",,,12.0273,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1992","1992","EUR","Euro","9","Billions",,,12.1862,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1993","1993","EUR","Euro","9","Billions",,,12.5625,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1994","1994","EUR","Euro","9","Billions",,,13.5935,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1995","1995","EUR","Euro","9","Billions",,,13.7635,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1996","1996","EUR","Euro","9","Billions",,,14.3618,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1997","1997","EUR","Euro","9","Billions",,,15.1207,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1998","1998","EUR","Euro","9","Billions",,,15.5464,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","1999","1999","EUR","Euro","9","Billions",,,17.064,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2000","2000","EUR","Euro","9","Billions",,,18.24,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2001","2001","EUR","Euro","9","Billions",,,17.8519,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2002","2002","EUR","Euro","9","Billions",,,18.763,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2003","2003","EUR","Euro","9","Billions",,,18.893,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2004","2004","EUR","Euro","9","Billions",,,20.4169,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2005","2005","EUR","Euro","9","Billions",,,21.7123,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2006","2006","EUR","Euro","9","Billions",,,22.8565,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2007","2007","EUR","Euro","9","Billions",,,24.1353,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2008","2008","EUR","Euro","9","Billions",,,24.3384,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2009","2009","EUR","Euro","9","Billions",,,23.8081,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2010","2010","EUR","Euro","9","Billions",,,25.5149,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2011","2011","EUR","Euro","9","Billions",,,26.257,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2012","2012","EUR","Euro","9","Billions",,,27.0703,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2013","2013","EUR","Euro","9","Billions",,,27.4905,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2014","2014","EUR","Euro","9","Billions",,,27.7429,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2015","2015","EUR","Euro","9","Billions",,,27.7652,,
