"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,1347,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,1516,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,1744,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,2000,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,2307,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,2717,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,3380,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,4209,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,5158,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,6124,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,7209,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,8308,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,9698,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,11277,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,12900,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,14145,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,15635,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,17632,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,19660,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,22226,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,25298,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,27962,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,30067,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,31360,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,32654,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,34116,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,35751,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,37825,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,39923,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,42480,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,45011,,
