    ccyy     av_hmc   av_hmc_wor   av_hmc_wor_scaled   av_hmc_scaled   av_tax_eff_ours   av_tax_eff_ours_wor   av_inc_5_ours   av_inc_5_ours_wor    av_inc1    av_inc2    av_inc3    av_inc4   av_inc_5_ours_pred   av_inc_5_ours_wor_pred  
    no04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    no07          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    1                        0  
    no10          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    1                        0  
    no13          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    1                        0  
    no79          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    no86          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    no91          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    no95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    pa07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pa10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pa13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pe04          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pe07          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pe10          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pe13          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    pl04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    pl07          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    pl10          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    pl13          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    pl86          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    pl92          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    pl95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    pl99          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    py10          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    py13          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ro95          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    ro97          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    rs06          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    rs10          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    rs13          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ru00          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ru04   .8615689     .8615689                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ru10   .7742857     .7742857                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ru13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    se00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    se05          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .6818238  
    se67          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    se75          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    se81          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    se87          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    se92          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    se95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        0  
    si04          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    si07          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    si10          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    si12          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    si97          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    si99          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    sk04          0            0                   0               0                 0                     0               0                   0   .9939677   .9939677   .9939677   .9939677                    0                        0  
    sk07          0            0                   0               0                 0                     0               0                   0   .9779614   .9779614   .9779614   .9779614                    0                        0  
    sk10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    sk13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    sk92          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    sk96          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    tw00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw05          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw07          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw10          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw13          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw81          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw86          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw91          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    tw95          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    tw97          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    uk07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    uk10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    uk13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    uk69          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk74          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk79          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk86          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk91          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk94          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uk95          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    uk99          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    us00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                  .684047  
    us04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .7032924  
    us07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .6891196  
    us10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .6685681  
    us13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .6485386  
    us74          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    us79          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    us86          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    us91          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    us94          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    us97          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    uy04          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    uy07          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    uy10          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    uy13          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    uy16          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    za08          1     .9995727                   0               1                 1                     0               1                   0   .9730808   .9666714   .9666714    .845606                    1                        0  
    za10          1     .8475696                   0               1                 1                     0               1                   0   .9182004    .907189    .907189   .8540192                    1                        0  
    za12          1     .9503797                   0               1                 1                     0               1                   0   .9521519   .9453164   .9453164   .9175949                    1                        0  
